Time,Set Spd,Phase
[sec],[mph],[#]
0,0.00,1
0.1,0.00,1
0.2,0.00,1
0.3,0.00,1
0.4,0.00,1
0.5,0.00,1
0.6,0.00,1
0.7,0.00,1
0.8,0.00,1
0.9,0.00,1
1,0.00,1
1.1,0.00,1
1.2,0.00,1
1.3,0.00,1
1.4,0.00,1
1.5,0.00,1
1.6,0.00,1
1.7,0.00,1
1.8,0.00,1
1.9,0.00,1
2,0.00,1
2.1,0.00,1
2.2,0.00,1
2.3,0.00,1
2.4,0.00,1
2.5,0.00,1
2.6,0.00,1
2.7,0.00,1
2.8,0.00,1
2.9,0.00,1
3,0.00,1
3.1,0.00,1
3.2,0.00,1
3.3,0.00,1
3.4,0.00,1
3.5,0.00,1
3.6,0.00,1
3.7,0.00,1
3.8,0.00,1
3.9,0.00,1
4,0.00,1
4.1,0.00,1
4.2,0.00,1
4.3,0.00,1
4.4,0.00,1
4.5,0.00,1
4.6,0.00,1
4.7,0.00,1
4.8,0.00,1
4.9,0.00,1
5,0.00,1
5.1,0.00,1
5.2,0.00,1
5.3,0.00,1
5.4,0.00,1
5.5,0.00,1
5.6,0.00,1
5.7,0.00,1
5.8,0.00,1
5.9,0.00,1
6,0.00,1
6.1,0.00,1
6.2,0.00,1
6.3,0.00,1
6.4,0.00,1
6.5,0.00,1
6.6,0.00,1
6.7,0.00,1
6.8,0.00,1
6.9,0.00,1
7,0.00,1
7.1,0.00,1
7.2,0.00,1
7.3,0.00,1
7.4,0.00,1
7.5,0.00,1
7.6,0.00,1
7.7,0.00,1
7.8,0.00,1
7.9,0.00,1
8,0.00,1
8.1,0.00,1
8.2,0.00,1
8.3,0.00,1
8.4,0.00,1
8.5,0.00,1
8.6,0.00,1
8.7,0.00,1
8.8,0.00,1
8.9,0.00,1
9,0.00,1
9.1,0.00,1
9.2,0.00,1
9.3,0.00,1
9.4,0.00,1
9.5,0.00,1
9.6,0.00,1
9.7,0.00,1
9.8,0.00,1
9.9,0.00,1
10,0.00,1
10.1,0.00,1
10.2,0.00,1
10.3,0.00,1
10.4,0.00,1
10.5,0.00,1
10.6,0.00,1
10.7,0.00,1
10.8,0.00,1
10.9,0.00,1
11,0.00,1
11.1,0.00,1
11.2,0.00,1
11.3,0.00,1
11.4,0.00,1
11.5,0.00,1
11.6,0.00,1
11.7,0.00,1
11.8,0.00,1
11.9,0.00,1
12,0.00,1
12.1,0.00,1
12.2,0.00,1
12.3,0.00,1
12.4,0.00,1
12.5,0.00,1
12.6,0.00,1
12.7,0.00,1
12.8,0.00,1
12.9,0.00,1
13,0.00,1
13.1,0.00,1
13.2,0.00,1
13.3,0.00,1
13.4,0.00,1
13.5,0.00,1
13.6,0.00,1
13.7,0.00,1
13.8,0.00,1
13.9,0.00,1
14,0.00,1
14.1,0.00,1
14.2,0.00,1
14.3,0.00,1
14.4,0.00,1
14.5,0.00,1
14.6,0.00,1
14.7,0.00,1
14.8,0.00,1
14.9,0.00,1
15,0.00,1
15.1,0.00,1
15.2,0.00,1
15.3,0.00,1
15.4,0.00,1
15.5,0.00,1
15.6,0.00,1
15.7,0.00,1
15.8,0.00,1
15.9,0.00,1
16,0.00,1
16.1,0.00,1
16.2,0.00,1
16.3,0.00,1
16.4,0.00,1
16.5,0.00,1
16.6,0.00,1
16.7,0.00,1
16.8,0.00,1
16.9,0.00,1
17,0.00,1
17.1,0.00,1
17.2,0.00,1
17.3,0.00,1
17.4,0.00,1
17.5,0.00,1
17.6,0.00,1
17.7,0.00,1
17.8,0.00,1
17.9,0.00,1
18,0.00,1
18.1,0.00,1
18.2,0.00,1
18.3,0.00,1
18.4,0.00,1
18.5,0.00,1
18.6,0.00,1
18.7,0.00,1
18.8,0.00,1
18.9,0.00,1
19,0.00,1
19.1,0.00,1
19.2,0.00,1
19.3,0.00,1
19.4,0.00,1
19.5,0.00,1
19.6,0.00,1
19.7,0.00,1
19.8,0.00,1
19.9,0.00,1
20,0.04,1
20.1,0.31,1
20.2,0.61,1
20.3,0.91,1
20.4,1.21,1
20.5,1.51,1
20.6,1.81,1
20.7,2.11,1
20.8,2.41,1
20.9,2.71,1
21,3.01,1
21.1,3.30,1
21.2,3.59,1
21.3,3.88,1
21.4,4.17,1
21.5,4.46,1
21.6,4.75,1
21.7,5.04,1
21.8,5.33,1
21.9,5.62,1
22,5.91,1
22.1,6.18,1
22.2,6.45,1
22.3,6.72,1
22.4,6.99,1
22.5,7.26,1
22.6,7.53,1
22.7,7.80,1
22.8,8.07,1
22.9,8.34,1
23,8.61,1
23.1,8.90,1
23.2,9.19,1
23.3,9.48,1
23.4,9.77,1
23.5,10.06,1
23.6,10.35,1
23.7,10.64,1
23.8,10.93,1
23.9,11.22,1
24,11.51,1
24.1,11.79,1
24.2,12.07,1
24.3,12.35,1
24.4,12.63,1
24.5,12.91,1
24.6,13.19,1
24.7,13.47,1
24.8,13.75,1
24.9,14.03,1
25,14.31,1
25.1,14.57,1
25.2,14.83,1
25.3,15.09,1
25.4,15.35,1
25.5,15.61,1
25.6,15.87,1
25.7,16.13,1
25.8,16.39,1
25.9,16.65,1
26,16.88,1
26.1,16.94,1
26.2,16.98,1
26.3,17.02,1
26.4,17.06,1
26.5,17.10,1
26.6,17.14,1
26.7,17.18,1
26.8,17.22,1
26.9,17.26,1
27,17.31,1
27.1,17.38,1
27.2,17.46,1
27.3,17.54,1
27.4,17.62,1
27.5,17.70,1
27.6,17.78,1
27.7,17.86,1
27.8,17.94,1
27.9,18.02,1
28,18.12,1
28.1,18.37,1
28.2,18.63,1
28.3,18.89,1
28.4,19.15,1
28.5,19.41,1
28.6,19.67,1
28.7,19.93,1
28.8,20.19,1
28.9,20.45,1
29,20.69,1
29.1,20.80,1
29.2,20.90,1
29.3,21.00,1
29.4,21.10,1
29.5,21.20,1
29.6,21.30,1
29.7,21.40,1
29.8,21.50,1
29.9,21.60,1
30,21.70,1
30.1,21.77,1
30.2,21.84,1
30.3,21.91,1
30.4,21.98,1
30.5,22.05,1
30.6,22.12,1
30.7,22.19,1
30.8,22.26,1
30.9,22.33,1
31,22.39,1
31.1,22.41,1
31.2,22.42,1
31.3,22.43,1
31.4,22.44,1
31.5,22.45,1
31.6,22.46,1
31.7,22.47,1
31.8,22.48,1
31.9,22.49,1
32,22.49,1
32.1,22.46,1
32.2,22.42,1
32.3,22.38,1
32.4,22.34,1
32.5,22.30,1
32.6,22.26,1
32.7,22.22,1
32.8,22.18,1
32.9,22.14,1
33,22.10,1
33.1,22.04,1
33.2,21.98,1
33.3,21.92,1
33.4,21.86,1
33.5,21.80,1
33.6,21.74,1
33.7,21.68,1
33.8,21.62,1
33.9,21.56,1
34,21.50,1
34.1,21.44,1
34.2,21.38,1
34.3,21.32,1
34.4,21.26,1
34.5,21.20,1
34.6,21.14,1
34.7,21.08,1
34.8,21.02,1
34.9,20.96,1
35,20.90,1
35.1,20.85,1
35.2,20.80,1
35.3,20.75,1
35.4,20.70,1
35.5,20.65,1
35.6,20.60,1
35.7,20.55,1
35.8,20.50,1
35.9,20.45,1
36,20.40,1
36.1,20.34,1
36.2,20.28,1
36.3,20.22,1
36.4,20.16,1
36.5,20.10,1
36.6,20.04,1
36.7,19.98,1
36.8,19.92,1
36.9,19.86,1
37,19.77,1
37.1,19.51,1
37.2,19.23,1
37.3,18.95,1
37.4,18.67,1
37.5,18.39,1
37.6,18.11,1
37.7,17.83,1
37.8,17.55,1
37.9,17.27,1
38,17.00,1
38.1,16.78,1
38.2,16.57,1
38.3,16.36,1
38.4,16.15,1
38.5,15.94,1
38.6,15.73,1
38.7,15.52,1
38.8,15.31,1
38.9,15.10,1
39,14.92,1
39.1,14.90,1
39.2,14.90,1
39.3,14.90,1
39.4,14.90,1
39.5,14.90,1
39.6,14.90,1
39.7,14.90,1
39.8,14.90,1
39.9,14.90,1
40,14.90,1
40.1,14.93,1
40.2,14.96,1
40.3,14.99,1
40.4,15.02,1
40.5,15.05,1
40.6,15.08,1
40.7,15.11,1
40.8,15.14,1
40.9,15.17,1
41,15.20,1
41.1,15.23,1
41.2,15.26,1
41.3,15.29,1
41.4,15.32,1
41.5,15.35,1
41.6,15.38,1
41.7,15.41,1
41.8,15.44,1
41.9,15.47,1
42,15.50,1
42.1,15.55,1
42.2,15.60,1
42.3,15.65,1
42.4,15.70,1
42.5,15.75,1
42.6,15.80,1
42.7,15.85,1
42.8,15.90,1
42.9,15.95,1
43,16.01,1
43.1,16.11,1
43.2,16.22,1
43.3,16.33,1
43.4,16.44,1
43.5,16.55,1
43.6,16.66,1
43.7,16.77,1
43.8,16.88,1
43.9,16.99,1
44,17.11,1
44.1,17.31,1
44.2,17.51,1
44.3,17.71,1
44.4,17.91,1
44.5,18.11,1
44.6,18.31,1
44.7,18.51,1
44.8,18.71,1
44.9,18.91,1
45,19.11,1
45.1,19.31,1
45.2,19.51,1
45.3,19.71,1
45.4,19.91,1
45.5,20.11,1
45.6,20.31,1
45.7,20.51,1
45.8,20.71,1
45.9,20.91,1
46,21.10,1
46.1,21.27,1
46.2,21.43,1
46.3,21.59,1
46.4,21.75,1
46.5,21.91,1
46.6,22.07,1
46.7,22.23,1
46.8,22.39,1
46.9,22.55,1
47,22.69,1
47.1,22.72,1
47.2,22.74,1
47.3,22.76,1
47.4,22.78,1
47.5,22.80,1
47.6,22.82,1
47.7,22.84,1
47.8,22.86,1
47.9,22.88,1
48,22.90,1
48.1,22.88,1
48.2,22.86,1
48.3,22.84,1
48.4,22.82,1
48.5,22.80,1
48.6,22.78,1
48.7,22.76,1
48.8,22.74,1
48.9,22.72,1
49,22.70,1
49.1,22.69,1
49.2,22.68,1
49.3,22.67,1
49.4,22.66,1
49.5,22.65,1
49.6,22.64,1
49.7,22.63,1
49.8,22.62,1
49.9,22.61,1
50,22.58,1
50.1,22.47,1
50.2,22.34,1
50.3,22.21,1
50.4,22.08,1
50.5,21.95,1
50.6,21.82,1
50.7,21.69,1
50.8,21.56,1
50.9,21.43,1
51,21.28,1
51.1,21.06,1
51.2,20.83,1
51.3,20.60,1
51.4,20.37,1
51.5,20.14,1
51.6,19.91,1
51.7,19.68,1
51.8,19.45,1
51.9,19.22,1
52,19.00,1
52.1,18.80,1
52.2,18.61,1
52.3,18.42,1
52.4,18.23,1
52.5,18.04,1
52.6,17.85,1
52.7,17.66,1
52.8,17.47,1
52.9,17.28,1
53,17.10,1
53.1,16.97,1
53.2,16.84,1
53.3,16.71,1
53.4,16.58,1
53.5,16.45,1
53.6,16.32,1
53.7,16.19,1
53.8,16.06,1
53.9,15.93,1
54,15.81,1
54.1,15.80,1
54.2,15.80,1
54.3,15.80,1
54.4,15.80,1
54.5,15.80,1
54.6,15.80,1
54.7,15.80,1
54.8,15.80,1
54.9,15.80,1
55,15.82,1
55.1,16.00,1
55.2,16.19,1
55.3,16.38,1
55.4,16.57,1
55.5,16.76,1
55.6,16.95,1
55.7,17.14,1
55.8,17.33,1
55.9,17.52,1
56,17.71,1
56.1,17.92,1
56.2,18.13,1
56.3,18.34,1
56.4,18.55,1
56.5,18.76,1
56.6,18.97,1
56.7,19.18,1
56.8,19.39,1
56.9,19.60,1
57,19.80,1
57.1,19.99,1
57.2,20.17,1
57.3,20.35,1
57.4,20.53,1
57.5,20.71,1
57.6,20.89,1
57.7,21.07,1
57.8,21.25,1
57.9,21.43,1
58,21.60,1
58.1,21.77,1
58.2,21.93,1
58.3,22.09,1
58.4,22.25,1
58.5,22.41,1
58.6,22.57,1
58.7,22.73,1
58.8,22.89,1
58.9,23.05,1
59,23.20,1
59.1,23.30,1
59.2,23.40,1
59.3,23.50,1
59.4,23.60,1
59.5,23.70,1
59.6,23.80,1
59.7,23.90,1
59.8,24.00,1
59.9,24.10,1
60,24.20,1
60.1,24.24,1
60.2,24.28,1
60.3,24.32,1
60.4,24.36,1
60.5,24.40,1
60.6,24.44,1
60.7,24.48,1
60.8,24.52,1
60.9,24.56,1
61,24.60,1
61.1,24.63,1
61.2,24.66,1
61.3,24.69,1
61.4,24.72,1
61.5,24.75,1
61.6,24.78,1
61.7,24.81,1
61.8,24.84,1
61.9,24.87,1
62,24.90,1
62.1,24.91,1
62.2,24.92,1
62.3,24.93,1
62.4,24.94,1
62.5,24.95,1
62.6,24.96,1
62.7,24.97,1
62.8,24.98,1
62.9,24.99,1
63,24.99,1
63.1,24.96,1
63.2,24.92,1
63.3,24.88,1
63.4,24.84,1
63.5,24.80,1
63.6,24.76,1
63.7,24.72,1
63.8,24.68,1
63.9,24.64,1
64,24.60,1
64.1,24.59,1
64.2,24.58,1
64.3,24.57,1
64.4,24.56,1
64.5,24.55,1
64.6,24.54,1
64.7,24.53,1
64.8,24.52,1
64.9,24.51,1
65,24.50,1
65.1,24.52,1
65.2,24.54,1
65.3,24.56,1
65.4,24.58,1
65.5,24.60,1
65.6,24.62,1
65.7,24.64,1
65.8,24.66,1
65.9,24.68,1
66,24.70,1
66.1,24.71,1
66.2,24.72,1
66.3,24.73,1
66.4,24.74,1
66.5,24.75,1
66.6,24.76,1
66.7,24.77,1
66.8,24.78,1
66.9,24.79,1
67,24.80,1
67.1,24.79,1
67.2,24.78,1
67.3,24.77,1
67.4,24.76,1
67.5,24.75,1
67.6,24.74,1
67.7,24.73,1
67.8,24.72,1
67.9,24.71,1
68,24.70,1
68.1,24.69,1
68.2,24.68,1
68.3,24.67,1
68.4,24.66,1
68.5,24.65,1
68.6,24.64,1
68.7,24.63,1
68.8,24.62,1
68.9,24.61,1
69,24.60,1
69.1,24.60,1
69.2,24.60,1
69.3,24.60,1
69.4,24.60,1
69.5,24.60,1
69.6,24.60,1
69.7,24.60,1
69.8,24.60,1
69.9,24.60,1
70,24.61,1
70.1,24.65,1
70.2,24.70,1
70.3,24.75,1
70.4,24.80,1
70.5,24.85,1
70.6,24.90,1
70.7,24.95,1
70.8,25.00,1
70.9,25.05,1
71,25.10,1
71.1,25.15,1
71.2,25.20,1
71.3,25.25,1
71.4,25.30,1
71.5,25.35,1
71.6,25.40,1
71.7,25.45,1
71.8,25.50,1
71.9,25.55,1
72,25.60,1
72.1,25.61,1
72.2,25.62,1
72.3,25.63,1
72.4,25.64,1
72.5,25.65,1
72.6,25.66,1
72.7,25.67,1
72.8,25.68,1
72.9,25.69,1
73,25.70,1
73.1,25.67,1
73.2,25.64,1
73.3,25.61,1
73.4,25.58,1
73.5,25.55,1
73.6,25.52,1
73.7,25.49,1
73.8,25.46,1
73.9,25.43,1
74,25.40,1
74.1,25.35,1
74.2,25.30,1
74.3,25.25,1
74.4,25.20,1
74.5,25.15,1
74.6,25.10,1
74.7,25.05,1
74.8,25.00,1
74.9,24.95,1
75,24.91,1
75.1,24.91,1
75.2,24.92,1
75.3,24.93,1
75.4,24.94,1
75.5,24.95,1
75.6,24.96,1
75.7,24.97,1
75.8,24.98,1
75.9,24.99,1
76,25.00,1
76.1,25.04,1
76.2,25.08,1
76.3,25.12,1
76.4,25.16,1
76.5,25.20,1
76.6,25.24,1
76.7,25.28,1
76.8,25.32,1
76.9,25.36,1
77,25.40,1
77.1,25.46,1
77.2,25.52,1
77.3,25.58,1
77.4,25.64,1
77.5,25.70,1
77.6,25.76,1
77.7,25.82,1
77.8,25.88,1
77.9,25.94,1
78,25.99,1
78.1,26.00,1
78.2,26.00,1
78.3,26.00,1
78.4,26.00,1
78.5,26.00,1
78.6,26.00,1
78.7,26.00,1
78.8,26.00,1
78.9,26.00,1
79,26.00,1
79.1,25.97,1
79.2,25.94,1
79.3,25.91,1
79.4,25.88,1
79.5,25.85,1
79.6,25.82,1
79.7,25.79,1
79.8,25.76,1
79.9,25.73,1
80,25.71,1
80.1,25.74,1
80.2,25.78,1
80.3,25.82,1
80.4,25.86,1
80.5,25.90,1
80.6,25.94,1
80.7,25.98,1
80.8,26.02,1
80.9,26.06,1
81,26.10,1
81.1,26.16,1
81.2,26.22,1
81.3,26.28,1
81.4,26.34,1
81.5,26.40,1
81.6,26.46,1
81.7,26.52,1
81.8,26.58,1
81.9,26.64,1
82,26.70,1
82.1,26.78,1
82.2,26.86,1
82.3,26.94,1
82.4,27.02,1
82.5,27.10,1
82.6,27.18,1
82.7,27.26,1
82.8,27.34,1
82.9,27.42,1
83,27.51,1
83.1,27.61,1
83.2,27.72,1
83.3,27.83,1
83.4,27.94,1
83.5,28.05,1
83.6,28.16,1
83.7,28.27,1
83.8,28.38,1
83.9,28.49,1
84,28.60,1
84.1,28.67,1
84.2,28.74,1
84.3,28.81,1
84.4,28.88,1
84.5,28.95,1
84.6,29.02,1
84.7,29.09,1
84.8,29.16,1
84.9,29.23,1
85,29.30,1
85.1,29.35,1
85.2,29.40,1
85.3,29.45,1
85.4,29.50,1
85.5,29.55,1
85.6,29.60,1
85.7,29.65,1
85.8,29.70,1
85.9,29.75,1
86,29.80,1
86.1,29.83,1
86.2,29.86,1
86.3,29.89,1
86.4,29.92,1
86.5,29.95,1
86.6,29.98,1
86.7,30.01,1
86.8,30.04,1
86.9,30.07,1
87,30.10,1
87.1,30.13,1
87.2,30.16,1
87.3,30.19,1
87.4,30.22,1
87.5,30.25,1
87.6,30.28,1
87.7,30.31,1
87.8,30.34,1
87.9,30.37,1
88,30.40,1
88.1,30.43,1
88.2,30.46,1
88.3,30.49,1
88.4,30.52,1
88.5,30.55,1
88.6,30.58,1
88.7,30.61,1
88.8,30.64,1
88.9,30.67,1
89,30.70,1
89.1,30.70,1
89.2,30.70,1
89.3,30.70,1
89.4,30.70,1
89.5,30.70,1
89.6,30.70,1
89.7,30.70,1
89.8,30.70,1
89.9,30.70,1
90,30.70,1
90.1,30.68,1
90.2,30.66,1
90.3,30.64,1
90.4,30.62,1
90.5,30.60,1
90.6,30.58,1
90.7,30.56,1
90.8,30.54,1
90.9,30.52,1
91,30.50,1
91.1,30.49,1
91.2,30.48,1
91.3,30.47,1
91.4,30.46,1
91.5,30.45,1
91.6,30.44,1
91.7,30.43,1
91.8,30.42,1
91.9,30.41,1
92,30.40,1
92.1,30.39,1
92.2,30.38,1
92.3,30.37,1
92.4,30.36,1
92.5,30.35,1
92.6,30.34,1
92.7,30.33,1
92.8,30.32,1
92.9,30.31,1
93,30.30,1
93.1,30.31,1
93.2,30.32,1
93.3,30.33,1
93.4,30.34,1
93.5,30.35,1
93.6,30.36,1
93.7,30.37,1
93.8,30.38,1
93.9,30.39,1
94,30.40,1
94.1,30.44,1
94.2,30.48,1
94.3,30.52,1
94.4,30.56,1
94.5,30.60,1
94.6,30.64,1
94.7,30.68,1
94.8,30.72,1
94.9,30.76,1
95,30.79,1
95.1,30.76,1
95.2,30.72,1
95.3,30.68,1
95.4,30.64,1
95.5,30.60,1
95.6,30.56,1
95.7,30.52,1
95.8,30.48,1
95.9,30.44,1
96,30.40,1
96.1,30.35,1
96.2,30.30,1
96.3,30.25,1
96.4,30.20,1
96.5,30.15,1
96.6,30.10,1
96.7,30.05,1
96.8,30.00,1
96.9,29.95,1
97,29.90,1
97.1,29.86,1
97.2,29.82,1
97.3,29.78,1
97.4,29.74,1
97.5,29.70,1
97.6,29.66,1
97.7,29.62,1
97.8,29.58,1
97.9,29.54,1
98,29.51,1
98.1,29.53,1
98.2,29.56,1
98.3,29.59,1
98.4,29.62,1
98.5,29.65,1
